"filename", "language", "C++", "Ini", "comment", "blank", "total"
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\include\avatar.h", "C++", 42, 0, 0, 3, 45
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\include\ending.h", "C++", 110, 0, 0, 9, 119
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\include\inventory.h", "C++", 23, 0, 0, 2, 25
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\include\lights_out.h", "C++", 127, 0, 0, 25, 152
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\include\map.h", "C++", 241, 0, 0, 35, 276
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\include\map_objects.h", "C++", 350, 0, 0, 41, 391
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\include\objects.h", "C++", 143, 0, 1, 25, 169
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\include\pause_menu.h", "C++", 98, 0, 0, 18, 116
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\include\re_door.h", "C++", 267, 0, 12, 27, 306
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\include\timer.h", "C++", 16, 0, 0, 4, 20
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\lib\avatar.cpp", "C++", 139, 0, 0, 22, 161
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\lib\inventory.cpp", "C++", 170, 0, 0, 10, 180
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\lib\map.cpp", "C++", 1300, 0, 0, 157, 1457
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\lib\map_objects.cpp", "C++", 1115, 0, 0, 203, 1318
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\lib\objects.cpp", "C++", 299, 0, 1, 54, 354
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\referencias\mapa_prueba.ini", "Ini", 0, 51, 0, 3, 54
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\reglas\TheGame-Reglas.cpp", "C++", 3, 0, 0, 1, 4
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\reglas\resolver.cpp", "C++", 14, 0, 0, 3, 17
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\src\main.cpp", "C++", 621, 0, 0, 30, 651
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\temp\test.cpp", "C++", 114, 0, 0, 23, 137
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\temp\test2.cpp", "C++", 126, 0, 0, 12, 138
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\temp\test3.cpp", "C++", 48, 0, 0, 8, 56
"c:\Users\USER\Documents\ProyectoTutorialC++\GameJam\temp\test4.cpp", "C++", 51, 0, 0, 6, 57
"Total", "-", 5417, 51, 14, 721, 6203
